Year;Month;Item;Consumer Price Index;Date
1913;Mar;All items;9.8;1913-03
1913;Sep;All items;10.0;1913-09
1914;Mar;All items;9.9;1914-03
1914;Aug;All items;10.2;1914-08
1915;Oct;All items;10.2;1915-10
1916;Feb;All items;10.4;1916-02
1916;Mar;All items;10.5;1916-03
1917;Sep;All items;13.3;1917-09
1918;Jun;All items;14.7;1918-06
1918;Jul;All items;15.1;1918-07
1919;Mar;All items;16.4;1919-03
1919;Nov;All items;18.5;1919-11
1919;Dec;All items;18.9;1919-12
1920;May;All items;20.6;1920-05
1921;Sep;All items;17.5;1921-09
1922;Sep;All items;16.6;1922-09
1923;Apr;All items;16.9;1923-04
1923;Jul;All items;17.2;1923-07
1923;Sep;All items;17.2;1923-09
1924;Jun;All items;17.0;1924-06
1926;Mar;All items;17.8;1926-03
1927;Jul;All items;17.3;1927-07
1927;Sep;All items;17.3;1927-09
1927;Dec;All items;17.3;1927-12
1928;Jan;All items;17.3;1928-01
1928;Aug;All items;17.1;1928-08
1928;Sep;All items;17.3;1928-09
1929;Mar;All items;17.0;1929-03
1929;Apr;All items;16.9;1929-04
1929;Aug;All items;17.3;1929-08
1931;Jan;All items;15.9;1931-01
1931;Aug;All items;15.1;1931-08
1931;Dec;All items;14.6;1931-12
1932;Mar;All items;14.0;1932-03
1932;Apr;All items;13.9;1932-04
1933;Jan;All items;12.9;1933-01
1933;Mar;All items;12.6;1933-03
1934;Jun;All items;13.4;1934-06
1934;Nov;All items;13.5;1934-11
1936;Nov;All items;14.0;1936-11
1937;Feb;All items;14.1;1937-02
1937;Nov;All items;14.5;1937-11
1939;Feb;All items;13.9;1939-02
1939;Apr;All items;13.8;1939-04
1939;Sep;All items;14.1;1939-09
1940;Jan;All items;13.9;1940-01
1940;Nov;All items;14.0;1940-11
1940;Dec;All items;14.1;1940-12
1941;Jun;All items;14.7;1941-06
1941;Dec;All items;15.5;1941-12
1942;Aug;All items;16.5;1942-08
1943;Mar;All items;17.2;1943-03
1943;Nov;All items;17.4;1943-11
1945;Jan;All items;17.8;1945-01
1945;Feb;All items;17.8;1945-02
1945;Mar;All items;17.8;1945-03
1945;Jul;All items;18.1;1945-07
1946;Aug;All items;20.2;1946-08
1946;Sep;All items;20.4;1946-09
1947;Dec;All items;23.4;1947-12
1948;Sep;All items;24.5;1948-09
1948;Oct;All items;24.4;1948-10
1949;Aug;All items;23.8;1949-08
1949;Sep;All items;23.9;1949-09
1949;Nov;All items;23.8;1949-11
1950;Jun;All items;23.8;1950-06
1950;Nov;All items;24.7;1950-11
1950;Dec;All items;25.0;1950-12
1951;Apr;All items;25.8;1951-04
1952;Jan;All items;26.5;1952-01
1952;Feb;All items;26.3;1952-02
1952;Mar;All items;26.3;1952-03
1952;Jun;All items;26.5;1952-06
1952;Jul;All items;26.7;1952-07
1953;Mar;All items;26.6;1953-03
1953;May;All items;26.7;1953-05
1953;Oct;All items;27.0;1953-10
1954;Jan;All items;26.9;1954-01
1954;Feb;All items;26.9;1954-02
1954;Jul;All items;26.9;1954-07
1954;Dec;All items;26.7;1954-12
1955;Aug;All items;26.8;1955-08
1955;Oct;All items;26.9;1955-10
1955;Dec;All items;26.8;1955-12
1957;Jan;All items;27.6;1957-01
1957;Feb;All items;27.7;1957-02
1957;Nov;All items;28.4;1957-11
1958;Mar;All items;28.8;1958-03
1958;Apr;All items;28.9;1958-04
1958;Nov;All items;29.0;1958-11
1959;May;All items;29.0;1959-05
1959;Oct;All items;29.4;1959-10
1961;Aug;All items;29.9;1961-08
1962;Mar;All items;30.1;1962-03
1962;Aug;All items;30.3;1962-08
1963;Jan;All items;30.4;1963-01
1964;Nov;All items;31.2;1964-11
1965;Mar;All items;31.3;1965-03
1965;Apr;All items;31.4;1965-04
1965;Jun;All items;31.6;1965-06
1966;Sep;All items;32.7;1966-09
1967;May;All items;33.2;1967-05
1967;Sep;All items;33.6;1967-09
1967;Nov;All items;33.8;1967-11
1967;Dec;All items;33.9;1967-12
1968;May;All items;34.5;1968-05
1968;Jul;All items;34.9;1968-07
1968;Sep;All items;35.1;1968-09
1968;Dec;All items;35.5;1968-12
1969;Apr;All items;36.3;1969-04
1969;May;All items;36.4;1969-05
1969;Sep;All items;37.1;1969-09
1969;Oct;All items;37.3;1969-10
1970;Jun;All items;38.8;1970-06
1970;Jul;All items;39.0;1970-07
1970;Sep;All items;39.2;1970-09
1970;Oct;All items;39.4;1970-10
1970;Dec;All items;39.8;1970-12
1971;Sep;All items;40.8;1971-09
1972;Nov;All items;42.4;1972-11
1973;Feb;All items;42.9;1973-02
1973;May;All items;43.9;1973-05
1974;Apr;All items;48.0;1974-04
1975;Sep;All items;54.6;1975-09
1975;Dec;All items;55.5;1975-12
1976;Jun;All items;56.8;1976-06
1976;Jul;All items;57.1;1976-07
1976;Dec;All items;58.2;1976-12
1977;Jan;All items;58.5;1977-01
1977;Apr;All items;60.0;1977-04
1977;May;All items;60.3;1977-05
1977;Jul;All items;61.0;1977-07
1978;Jan;All items;62.5;1978-01
1978;Jul;All items;65.7;1978-07
1980;Jun;All items;82.7;1980-06
1980;Jul;All items;82.7;1980-07
1980;Sep;All items;84.0;1980-09
1980;Oct;All items;84.8;1980-10
1980;Dec;All items;86.3;1980-12
1981;Aug;All items;92.3;1981-08
1981;Oct;All items;93.4;1981-10
1981;Nov;All items;93.7;1981-11
1981;Dec;All items;94.0;1981-12
1982;Feb;All items;94.6;1982-02
1982;Aug;All items;97.7;1982-08
1983;Apr;All items;98.6;1983-04
1984;May;All items;103.4;1984-05
1985;Sep;All items;108.3;1985-09
1986;Feb;All items;109.3;1986-02
1986;Mar;All items;108.8;1986-03
1986;Apr;All items;108.6;1986-04
1986;Jun;All items;109.5;1986-06
1986;Aug;All items;109.7;1986-08
1986;Nov;All items;110.4;1986-11
1987;Jun;All items;113.5;1987-06
1988;Feb;All items;116.0;1988-02
1988;Sep;All items;119.8;1988-09
1989;Apr;All items;123.1;1989-04
1989;Nov;All items;125.9;1989-11
1990;Apr;All items;128.9;1990-04
1991;Feb;All items;134.8;1991-02
1991;Apr;All items;135.2;1991-04
1991;May;All items;135.6;1991-05
1991;Jul;All items;136.2;1991-07
1991;Nov;All items;137.8;1991-11
1991;Dec;All items;137.9;1991-12
1992;Mar;All items;139.3;1992-03
1992;Jun;All items;140.2;1992-06
1992;Jul;All items;140.5;1992-07
1992;Dec;All items;141.9;1992-12
1993;Mar;All items;143.6;1993-03
1993;Aug;All items;144.8;1993-08
1993;Sep;All items;145.1;1993-09
1993;Oct;All items;145.7;1993-10
1994;Mar;All items;147.2;1994-03
1995;Sep;All items;153.2;1995-09
1995;Nov;All items;153.6;1995-11
1996;Feb;All items;154.9;1996-02
1996;Aug;All items;157.3;1996-08
1996;Sep;All items;157.8;1996-09
1997;Mar;All items;160.0;1997-03
1997;Jun;All items;160.3;1997-06
1997;Dec;All items;161.3;1997-12
1998;May;All items;162.8;1998-05
1998;Aug;All items;163.4;1998-08
1999;Jun;All items;166.2;1999-06
1999;Sep;All items;167.9;1999-09
1999;Oct;All items;168.2;1999-10
1999;Nov;All items;168.3;1999-11
2000;Jul;All items;172.8;2000-07
2001;Jul;All items;177.5;2001-07
2002;Jan;All items;177.1;2002-01
2002;Mar;All items;178.8;2002-03
2002;May;All items;179.8;2002-05
2002;Oct;All items;181.3;2002-10
2003;Jan;All items;181.7;2003-01
2003;Jul;All items;183.9;2003-07
2004;Jan;All items;185.2;2004-01
2004;Jul;All items;189.4;2004-07
2004;Aug;All items;189.5;2004-08
2005;Feb;All items;191.8;2005-02
2005;Jun;All items;194.5;2005-06
2006;Jun;All items;202.9;2006-06
2006;Oct;All items;201.8;2006-10
2006;Dec;All items;201.8;2006-12
2007;Feb;All items;203.499;2007-02
2007;Mar;All items;205.352;2007-03
2007;May;All items;207.949;2007-05
2007;Oct;All items;208.936;2007-10
2008;Jan;All items;211.08;2008-01
2008;Feb;All items;211.693;2008-02
2008;Apr;All items;214.823;2008-04
2009;Jan;All items;211.143;2009-01
2009;Jun;All items;215.693;2009-06
2009;Aug;All items;215.834;2009-08
2010;Sep;All items;218.439;2010-09
2010;Oct;All items;218.711;2010-10
2011;Apr;All items;224.906;2011-04
2011;Jun;All items;225.722;2011-06
2011;Jul;All items;225.922;2011-07
2011;Nov;All items;226.23;2011-11
2011;Dec;All items;225.672;2011-12
2012;Jun;All items;229.478;2012-06
2013;Jan;All items;230.28;2013-01
2013;Jun;All items;233.504;2013-06
2013;Jul;All items;233.596;2013-07
2013;Dec;All items;233.049;2013-12
2014;Jan;All items;233.916;2014-01
2014;Apr;All items;237.072;2014-04
2014;Jul;All items;238.25;2014-07
2014;Aug;All items;237.852;2014-08
2014;Sep;All items;238.031;2014-09
2014;Dec;All items;234.812;2014-12
2015;Jan;All items;233.707;2015-01
2015;Feb;All items;234.722;2015-02
2015;May;All items;237.805;2015-05
2015;Sep;All items;237.945;2015-09
2016;Mar;All items;238.132;2016-03
2016;Oct;All items;241.729;2016-10
2017;Sep;All items;246.819;2017-09
2017;Oct;All items;246.663;2017-10
2019;Mar;All items;254.202;2019-03
2019;Jul;All items;256.571;2019-07
2019;Dec;All items;256.974;2019-12
2020;Apr;All items;256.389;2020-04
2020;May;All items;256.394;2020-05
2020;Nov;All items;260.229;2020-11
2020;Dec;All items;260.474;2020-12
2021;Jan;All items;261.582;2021-01
2021;Jun;All items;271.696;2021-06
2021;Nov;All items;277.948;2021-11
2022;Jan;All items;281.148;2022-01
2022;Sep;All items;296.808;2022-09
1957;Jul;All items less food and energy;28.9;1957-07
1958;Mar;All items less food and energy;29.5;1958-03
1958;Aug;All items less food and energy;29.6;1958-08
1958;Oct;All items less food and energy;29.7;1958-10
1959;Oct;All items less food and energy;30.5;1959-10
1960;Aug;All items less food and energy;30.6;1960-08
1961;Apr;All items less food and energy;30.9;1961-04
1961;Jun;All items less food and energy;30.9;1961-06
1961;Jul;All items less food and energy;31.0;1961-07
1961;Oct;All items less food and energy;31.2;1961-10
1962;Aug;All items less food and energy;31.4;1962-08
1963;Mar;All items less food and energy;31.6;1963-03
1963;Dec;All items less food and energy;32.1;1963-12
1964;Jul;All items less food and energy;32.3;1964-07
1964;Aug;All items less food and energy;32.2;1964-08
1964;Sep;All items less food and energy;32.3;1964-09
1965;Jan;All items less food and energy;32.6;1965-01
1965;Aug;All items less food and energy;32.7;1965-08
1966;Mar;All items less food and energy;33.1;1966-03
1966;Jul;All items less food and energy;33.6;1966-07
1967;Nov;All items less food and energy;35.3;1967-11
1968;Jul;All items less food and energy;36.4;1968-07
1968;Nov;All items less food and energy;37.1;1968-11
1969;Feb;All items less food and energy;37.5;1969-02
1969;Sep;All items less food and energy;38.9;1969-09
1969;Nov;All items less food and energy;39.3;1969-11
1969;Dec;All items less food and energy;39.5;1969-12
1970;Feb;All items less food and energy;39.8;1970-02
1970;Mar;All items less food and energy;40.1;1970-03
1970;Jul;All items less food and energy;40.9;1970-07
1971;Mar;All items less food and energy;42.2;1971-03
1971;Jun;All items less food and energy;42.8;1971-06
1971;Sep;All items less food and energy;43.1;1971-09
1972;Sep;All items less food and energy;44.3;1972-09
1972;Oct;All items less food and energy;44.5;1972-10
1972;Nov;All items less food and energy;44.6;1972-11
1973;Feb;All items less food and energy;44.7;1973-02
1973;Jun;All items less food and energy;45.4;1973-06
1974;Jul;All items less food and energy;49.5;1974-07
1974;Oct;All items less food and energy;51.3;1974-10
1975;Jan;All items less food and energy;52.2;1975-01
1975;Apr;All items less food and energy;53.3;1975-04
1975;Jul;All items less food and energy;54.0;1975-07
1975;Aug;All items less food and energy;54.2;1975-08
1975;Oct;All items less food and energy;54.9;1975-10
1976;Oct;All items less food and energy;58.6;1976-10
1977;Jan;All items less food and energy;59.2;1977-01
1977;Aug;All items less food and energy;61.5;1977-08
1977;Dec;All items less food and energy;62.7;1977-12
1978;Jan;All items less food and energy;63.0;1978-01
1978;Apr;All items less food and energy;64.2;1978-04
1978;Oct;All items less food and energy;67.3;1978-10
1979;Dec;All items less food and energy;75.7;1979-12
1980;Oct;All items less food and energy;83.2;1980-10
1981;Jan;All items less food and energy;85.3;1981-01
1981;Feb;All items less food and energy;85.7;1981-02
1981;Apr;All items less food and energy;86.8;1981-04
1981;May;All items less food and energy;87.8;1981-05
1981;Jun;All items less food and energy;88.7;1981-06
1982;Jan;All items less food and energy;93.2;1982-01
1982;May;All items less food and energy;95.4;1982-05
1982;Jun;All items less food and energy;96.3;1982-06
1982;Dec;All items less food and energy;97.2;1982-12
1983;Apr;All items less food and energy;98.6;1983-04
1983;Dec;All items less food and energy;101.9;1983-12
1984;Feb;All items less food and energy;102.6;1984-02
1984;Jun;All items less food and energy;104.2;1984-06
1984;Dec;All items less food and energy;106.7;1984-12
1985;Mar;All items less food and energy;107.9;1985-03
1985;Dec;All items less food and energy;111.3;1985-12
1986;May;All items less food and energy;112.9;1986-05
1987;Sep;All items less food and energy;119.4;1987-09
1988;Jul;All items less food and energy;123.3;1988-07
1988;Sep;All items less food and energy;124.7;1988-09
1989;Aug;All items less food and energy;129.3;1989-08
1989;Sep;All items less food and energy;130.0;1989-09
1989;Oct;All items less food and energy;130.9;1989-10
1989;Dec;All items less food and energy;131.5;1989-12
1990;Aug;All items less food and energy;136.4;1990-08
1991;Jul;All items less food and energy;142.0;1991-07
1991;Nov;All items less food and energy;144.4;1991-11
1992;Jan;All items less food and energy;144.9;1992-01
1992;Jul;All items less food and energy;147.3;1992-07
1992;Aug;All items less food and energy;147.7;1992-08
